"Time stamp","Cold Water   (ft³)","Hot Water   (ft³)","Pool Water   (m³)","Spa water meter   (m³)"
"2022-03-01 00:00","15.0","2381.52","1.95","15.03"
"2022-03-02 00:00","13.0","2384.02","1.62","0.0"
"2022-03-03 00:00","21.5","2397.46","17.71","16.87"
"2022-03-04 00:00","13.5","2145.37","0.0","0.0"
"2022-03-05 00:00","26.5","1766.56","0.47","0.0"
"2022-03-06 00:00","20.5","2387.87","0.76","0.0"
"2022-03-07 00:00","36.5","2407.09","3.46","0.0"
"2022-03-08 00:00","18.5","2400.68","17.14","17.39"
"2022-03-09 00:00","24.5","2391.41","0.0","0.0"
"2022-03-10 00:00","17.0","1474.21","4.71","0.0"
"2022-03-11 00:00","20.0","2407.34","0.07","0.0"
"2022-03-12 00:00","24.0","2402.06","0.0","0.0"
"2022-03-13 00:00","26.5","2315.18","0.67","0.0"
"2022-03-14 00:00","34.0","2420.44","7.85","3.26"
"2022-03-15 00:00","118.0","2416.15","10.82","0.0"
"2022-03-16 00:00","39.5","2454.79","0.0","0.0"
"2022-03-17 00:00","28.0","2437.34","5.6","0.0"
"2022-03-18 00:00","24.5","2439.61","0.47","0.0"
"2022-03-19 00:00","21.0","2433.5","0.51","0.0"
"2022-03-20 00:00","24.0","2447.63","11.05","0.0"
"2022-03-21 00:00","26.0","2433.77","6.04","0.0"
"2022-03-22 00:00","32.0","2440.45","1.71","18.89"
"2022-03-23 00:00","28.5","2444.03","0.0","0.0"
"2022-03-24 00:00","42.5","2472.36","1.25","11.38"
"2022-03-25 00:00","27.0","2437.9","3.06","0.0"
"2022-03-26 00:00","45.0","2457.54","2.44","0.0"
"2022-03-27 00:00","50.5","2497.49","15.15","0.0"
"2022-03-28 00:00","43.0","2476.3","0.59","0.0"
"2022-03-29 00:00","56.0","2452.11","9.43","19.3"
"2022-03-30 00:00","51.5","2467.5","17.55","0.0"
"2022-03-31 00:00","32.5","2446.98","8.16","16.2"
